Productcat,Date,Sales
ProdCat28,25-03-2014,
ProdCat28,26-03-2014,
ProdCat28,27-03-2014,
ProdCat28,28-03-2014,
ProdCat28,29-03-2014,
ProdCat29,01-03-2014,
ProdCat29,04-03-2014,
ProdCat29,05-03-2014,
ProdCat29,06-03-2014,
ProdCat29,07-03-2014,
ProdCat29,08-03-2014,
ProdCat29,11-03-2014,
ProdCat29,12-03-2014,
ProdCat29,13-03-2014,
ProdCat29,14-03-2014,
ProdCat29,15-03-2014,
ProdCat29,18-03-2014,
ProdCat29,19-03-2014,
ProdCat29,20-03-2014,
ProdCat29,21-03-2014,
ProdCat29,22-03-2014,
ProdCat29,25-03-2014,
ProdCat29,26-03-2014,
ProdCat29,27-03-2014,
ProdCat29,28-03-2014,
ProdCat29,29-03-2014,
ProdCat30,01-03-2014,
ProdCat30,04-03-2014,
ProdCat30,05-03-2014,
ProdCat30,06-03-2014,
ProdCat30,07-03-2014,
ProdCat30,08-03-2014,
ProdCat30,11-03-2014,
ProdCat30,12-03-2014,
ProdCat30,13-03-2014,
ProdCat30,14-03-2014,
ProdCat30,15-03-2014,
ProdCat30,18-03-2014,
ProdCat30,19-03-2014,
ProdCat30,20-03-2014,
ProdCat30,21-03-2014,
ProdCat30,22-03-2014,
ProdCat30,25-03-2014,
ProdCat30,26-03-2014,
ProdCat30,27-03-2014,
ProdCat30,28-03-2014,
ProdCat30,29-03-2014,
ProdCat31,01-03-2014,
ProdCat31,04-03-2014,
ProdCat31,05-03-2014,
ProdCat31,06-03-2014,
ProdCat31,07-03-2014,
ProdCat31,08-03-2014,
ProdCat31,11-03-2014,
ProdCat31,12-03-2014,
ProdCat31,13-03-2014,
ProdCat31,14-03-2014,
ProdCat31,15-03-2014,
ProdCat31,18-03-2014,
ProdCat31,19-03-2014,
ProdCat31,20-03-2014,
ProdCat31,21-03-2014,
ProdCat31,22-03-2014,
ProdCat31,25-03-2014,
ProdCat31,26-03-2014,
ProdCat31,27-03-2014,
ProdCat31,28-03-2014,
ProdCat31,29-03-2014,
ProdCat32,01-03-2014,
ProdCat32,04-03-2014,
ProdCat32,05-03-2014,
ProdCat32,06-03-2014,
ProdCat32,07-03-2014,
ProdCat32,08-03-2014,
ProdCat32,11-03-2014,
ProdCat32,12-03-2014,
ProdCat32,13-03-2014,
ProdCat32,14-03-2014,
ProdCat32,15-03-2014,
ProdCat32,18-03-2014,
ProdCat32,19-03-2014,
ProdCat32,20-03-2014,
ProdCat32,21-03-2014,
ProdCat32,22-03-2014,
ProdCat32,25-03-2014,
ProdCat32,26-03-2014,
ProdCat32,27-03-2014,
ProdCat32,28-03-2014,
ProdCat32,29-03-2014,
ProdCat33,01-03-2014,
ProdCat33,04-03-2014,
ProdCat33,05-03-2014,
ProdCat33,06-03-2014,
ProdCat33,07-03-2014,
ProdCat33,08-03-2014,
ProdCat33,11-03-2014,
ProdCat33,12-03-2014,
ProdCat33,13-03-2014,
ProdCat33,14-03-2014,
ProdCat33,15-03-2014,
ProdCat33,18-03-2014,
ProdCat33,19-03-2014,
ProdCat33,20-03-2014,
ProdCat33,21-03-2014,
ProdCat33,22-03-2014,
ProdCat33,25-03-2014,
ProdCat33,26-03-2014,
ProdCat33,27-03-2014,
ProdCat33,28-03-2014,
